Date;Open;High;Low;Close;Volume
2004.06.11 04:00;384;384.3;383.3;383.8;44
2004.06.11 08:00;383.8;384.3;382.8;383.6;152
2004.06.11 12:00;383.5;384.6;383.3;384.6;48
2004.06.11 16:00;384.3;384.8;383.8;384.1;28
2004.06.14 00:00;384.3;384.5;382.3;382.6;124
2004.06.14 04:00;382.6;383.3;382.3;382.6;139
2004.06.14 08:00;382.6;383.8;381.8;382.5;169
2004.06.14 12:00;382.3;385.8;382.3;384.6;647
2004.06.14 16:00;384.3;384.8;382.5;383.3;739
2004.06.14 20:00;383.1;383.3;382.6;382.8;84
2004.06.15 00:00;382.8;383.8;382.3;382.5;118
2004.06.15 04:00;382.3;383.1;382;382.8;145
2004.06.15 08:00;382.8;383.3;381.1;382;150
2004.06.15 12:00;382.3;385.6;381.3;385.3;368
2004.06.15 16:00;386.3;388.6;384.6;387.1;1098
2004.06.15 20:00;387.6;388.8;387.1;388.6;72
2004.06.16 00:00;387.1;389.8;387.1;388.5;88
2004.06.16 04:00;388.6;389.1;387.8;388.6;137
2004.06.16 08:00;388.1;389;386.6;387.3;193
2004.06.16 12:00;386.6;387.3;383.8;384.6;471
2004.06.16 16:00;384.1;385.1;382.6;383.8;1008
2004.06.16 20:00;383.6;384.6;383.6;383.8;117
2004.06.17 00:00;383.6;384.6;383;383.1;108
2004.06.17 04:00;383.1;384.3;383;384.3;134
2004.06.17 08:00;384;385.8;384;385.3;209
2004.06.17 12:00;385.8;387.6;385.6;386.6;603
2004.06.17 16:00;385.8;388.8;384.3;388.3;428
2004.06.17 20:00;388.3;389.3;387.3;387.6;86
2004.06.18 00:00;388.6;388.6;387.1;387.6;87
2004.06.18 04:00;387.3;388.1;385.8;386.3;144
2004.06.18 08:00;386.6;389.1;385.8;388.8;229
2004.06.18 12:00;388.6;395.5;388.6;395.1;899
2004.06.18 16:00;394.6;395.8;394.1;394.6;882
2004.06.18 20:00;394.3;394.6;394.3;394.3;16
2004.06.21 00:00;394.3;394.8;392.8;394.1;87
2004.06.21 04:00;393.5;394.1;393.1;393.6;74
2004.06.21 08:00;393.3;393.8;392.3;393.6;64
2004.06.21 12:00;393.3;396.8;393.3;395;366
2004.06.21 16:00;395.1;395.3;392.1;393.1;933
2004.06.21 20:00;393.6;393.6;392.8;393.1;150
2004.06.22 00:00;392.8;394.6;392.8;393.3;77
2004.06.22 04:00;394;394.5;392.8;393;65
2004.06.22 08:00;392.8;394.3;392.3;393.6;190
2004.06.22 12:00;393.6;395.6;393;395.3;274
2004.06.22 16:00;395.5;396.3;393.8;394.1;648
2004.06.22 20:00;394;394.8;393.8;394.1;153
2004.06.23 00:00;394;394.8;393.6;394.6;104
2004.06.23 04:00;394.5;395.8;394.3;395.3;148
2004.06.23 08:00;395.5;396.6;393.8;394;197
2004.06.23 12:00;394.8;395.8;393.6;394.3;496
2004.06.23 16:00;394.3;394.8;392.3;394.1;763
2004.06.23 20:00;394.3;395.8;394;395.6;121
2004.06.24 00:00;394;394.6;393.1;393.6;85
2004.06.24 04:00;393.6;394.3;393.6;393.8;143
2004.06.24 08:00;394.6;397.8;393.6;396.6;212
2004.06.24 12:00;397;401.8;395.3;400.1;769
2004.06.24 16:00;400.1;402.8;398.8;402.1;704
2004.06.24 20:00;401.8;402.8;401.1;401.1;78
2004.06.25 00:00;402;402.1;400.1;401.5;113
2004.06.25 04:00;401.5;402.1;400.6;401.6;158
2004.06.25 08:00;401.8;402.1;400.5;400.6;118
2004.06.25 12:00;400.6;402.8;400.1;400.6;654
2004.06.25 16:00;400.6;402.3;400.6;401.8;499
2004.06.25 20:00;401.8;402.6;400.6;401.1;66
2004.06.28 00:00;401.8;402.3;401.5;401.8;53
2004.06.28 04:00;401.5;402.3;400.8;401;149
2004.06.28 08:00;401.1;402.3;400.6;401.5;171
